comment,label
"Sản phẩm rất tốt, mình thích lắm!",positive
"Dịch vụ quá tệ, không bao giờ mua lại.",negative
"Giao hàng nhanh, nhưng chưa sử dụng nên chưa biết chất lượng.",neutral
"Mỹ phẩm này dùng thích ghê, sẽ ủng hộ tiếp!",positive
"Giao hàng lâu quá, làm ăn kiểu gì vậy?",negative
"Chưa thử nhưng thấy nhiều người khen, chắc cũng ổn.",neutral
"Clip này đỉnh thật, xem xong muốn share liền!",positive
"Video này đỉnh thật, xem xong muốn tua lại luôn!",positive
"Dịch vụ tệ quá, không bao giờ quay lại nữa.",negative
"Clip này ổn, nhưng chưa xem hết nên chưa rõ.",neutral
"Nhạc hay vãi, nghe cả ngày không chán!",positive
"Giao hàng chậm như rùa, chán ghê!",negative
"Game này nghe nói hay, để tải thử xem sao.",neutral
"Nội dung chất lượng, đáng để subscribe!",positive
"Phim dở ẹc, phí thời gian xem.",negative
"Bài viết dài quá, đọc xong hơi mệt.",neutral
"App này xịn thật, dùng thích lắm!",positive
"Hàng lỗi tùm lum, mua về tức điên!",negative
"Chưa dùng nên không biết, để test thử.",neutral
"Clip hài quá, cười đau cả bụng!",positive
"Âm thanh tệ quá, nghe mà nhức đầu.",negative
"Sản phẩm này cũng được, không tệ lắm.",neutral
"Video đỉnh cao, không skip giây nào!",positive
"Dịch vụ lừa đảo, mọi người tránh xa nhé!",negative
"Nghe đồn phim hay, để cuối tuần xem.",neutral
"Game này tuyệt vời, chơi hoài không chán!",positive
"Giao hàng lâu quá, làm ăn kiểu gì vậy?",negative
"Nội dung bình thường, không có gì đặc biệt.",neutral
"Mỹ phẩm xài thích ghê, sẽ mua tiếp!",positive
"Hàng fake, đừng ai mua kẻo tiếc!",negative
"Chưa thử nhưng thấy review ổn, để xem.",neutral
"Clip này bá cháy, xem là mê liền!",positive
"Nhạc dở kinh khủng, tắt ngay lập tức.",negative
"Phim này dài, chưa biết hay dở ra sao.",neutral
"Sản phẩm tốt quá, 5 sao luôn!",positive
"Dịch vụ chán đời, không đáng 1 xu.",negative
"Game này tạm ổn, chơi được vài tiếng.",neutral
"Video hay cực, up thêm đi nhé!",positive
"Hàng giao trễ, thái độ nhân viên tệ nữa.",negative
"Chưa xem hết, nhưng thấy cũng bình thường.",neutral
"Nhạc chill quá, nghe thư giãn ghê!",positive
"App lỗi liên tục, xóa luôn cho rồi.",negative
"Clip này nghe nói viral, để check thử.",neutral
"Phim này đỉnh của chóp, xem đi không tiếc!",positive
"Giao hàng như rùa bò, bực cả người.",negative
"Sản phẩm này cũng được, không quá tệ.",neutral
"Nội dung sáng tạo, thích cách làm clip!",positive
"Game lag kinh khủng, chơi không nổi.",negative
"Chưa dùng nên không rõ, để thử đã.",neutral
"Video này xứng đáng triệu view, quá hay!",positive
"Hàng kém chất lượng, tiền mất tật mang.",negative
"Nhạc này bình thường, nghe tạm được.",neutral
"Clip dạy hay lắm, học được nhiều thứ!",positive
"Dịch vụ quá tệ, không đáng để thử.",negative
"Phim này dài quá, chưa biết có hay không.",neutral
"Game này đỉnh thật, chơi mê mẩn luôn!",positive
"Giao hàng chậm, thái độ hỗ trợ cũng tệ.",negative
"Clip này đỉnh thật, xem xong muốn share liền!",positive
"Dịch vụ tệ hại, không đáng 1 sao!",negative
"Game này nghe nói hay, để tải về thử.",neutral
"Nhạc chill quá, nghe là mê luôn!",positive
"Giao hàng chậm như rùa, bực mình ghê!",negative
"Video này cũng được, không quá đặc biệt.",neutral
"Phim hay vãi, xem xong cảm động muốn khóc!",positive
"Hàng lỗi tùm lum, mua về tức điên!",negative
"Chưa xem hết clip, nhưng thấy ổn.",neutral
"App này xịn quá, dùng thích mê!",positive
"Nhạc dở kinh khủng, nghe 5 giây là tắt!",negative
"Sản phẩm này bình thường, chưa biết tốt không.",neutral
"Video hài quá, cười xỉu luôn!",positive
"Dịch vụ lừa đảo, mọi người cẩn thận nhé!",negative
"Phim này dài, để cuối tuần xem thử.",neutral
"Game đỉnh cao, chơi cả ngày không chán!",positive
"Giao hàng trễ, thái độ nhân viên còn tệ hơn!",negative
"Clip này tạm được, xem giải trí thôi.",neutral
"Mỹ phẩm xài thích ghê, sẽ ủng hộ tiếp!",positive
"Hàng fake, đừng ai mua kẻo tiếc!",negative
"Chưa thử app này, nghe nói cũng ổn.",neutral
"Video này bá cháy, up thêm đi nhé!",positive
"Nhạc chán đời, không hiểu sao nổi tiếng.",negative
"Game này hơi khó, chưa biết có thích không.",neutral
"Clip dạy hay quá, học được nhiều thứ!",positive
"Dịch vụ quá tệ, phí tiền phí công!",negative
"Phim này nghe đồn hay, để xem sao.",neutral
"Sản phẩm tốt thật, 5 sao không tiếc!",positive
"Giao hàng lâu, làm ăn kiểu gì vậy?",negative
"Nội dung clip bình thường, không ấn tượng lắm.",neutral
"Video đỉnh của chóp, xem là ghiền!",positive
"App lỗi liên tục, xóa luôn cho xong!",negative
"Chưa dùng sản phẩm, để test thử đã.",neutral
"Nhạc hay cực, nghe hoài không chán!",positive
"Hàng kém chất lượng, tiền mất tật mang!",negative
"Clip này cũng ổn, xem tạm được.",neutral
"Game này tuyệt vời, chơi mê mẩn luôn!",positive
"Dịch vụ chán òm, không bao giờ quay lại!",negative
"Phim này dài quá, chưa biết hay dở.",neutral
"Video sáng tạo ghê, thích cách làm clip!",positive
"Giao hàng chậm, thái độ hỗ trợ cũng tệ!",negative
"Sản phẩm này nghe nói tốt, để thử xem.",neutral
"Clip này xứng đáng triệu view, quá chất!",positive
"Nhạc dở ẹc, phí thời gian nghe!",negative
"Game này bình thường, chơi được vài ván.",neutral
"Video dạy đỉnh quá, up thêm nhiều nữa nhé!",positive
"Hàng giao trễ, chất lượng còn tệ hơn!",negative
"Chưa xem hết phim, nhưng thấy cũng được.",neutral
"App này xài thích thật, recommend mọi người!",positive
"Dịch vụ thất vọng, không đáng để thử!",negative
"Clip này nghe nói viral, để check thử.",neutral
"Nhạc chill vãi, nghe là thư giãn liền!",positive
"Game lag kinh khủng, chơi không nổi!",negative
"Sản phẩm này tạm ổn, chưa có gì nổi bật.",neutral
"Video hài hước ghê, xem cười đau bụng!",positive
"Hàng giao chậm, còn bị móp nữa!",negative
"Phim này dài, chưa biết có hay không.",neutral
"Game đỉnh thật, chơi là mê luôn!",positive
"Dịch vụ tệ quá, không hiểu sao còn tồn tại!",negative
"Clip này bình thường, xem cho vui thôi.",neutral
"Nhạc hay quá, thêm vào playlist ngay!",positive
"App này lỗi hoài, xài bực cả người!",negative
"Chưa thử sản phẩm, nghe review cũng ổn.",neutral
"Video này đỉnh cao, không thể bỏ lỡ!",positive
"Giao hàng lâu, thái độ nhân viên kém!",negative
"Game này nghe nói hay, để chơi thử.",neutral
"Phim cảm động ghê, xem xong khóc luôn!",positive
"Hàng dởm, đừng ai mua kẻo hối hận!",negative
"Clip này cũng được, không quá tệ.",neutral
"App xịn quá, dùng thích mê ly!",positive
"Nhạc chán òm, nghe phát là tắt!",negative
"Sản phẩm này bình thường, chưa rõ chất lượng.",neutral
"Video hài quá, xem cười sảng khoái!",positive
"Dịch vụ lừa đảo, cạch mặt luôn!",negative
"Phim này dài quá, để xem từ từ.",neutral
"Game đỉnh của chóp, chơi hoài không chán!",positive
"Giao hàng chậm, hàng còn hỏng nữa!",negative
"Clip này tạm ổn, xem giải trí được.",neutral
"Mỹ phẩm tốt ghê, sẽ mua thêm!",positive
"Hàng kém chất lượng, phí tiền thật!",negative
"Chưa xem hết video, nhưng thấy cũng ổn.",neutral
"Nhạc hay vãi, nghe là ghiền luôn!",positive
"App này tệ quá, xóa ngay lập tức!",negative
"Game này nghe đồn hay, để thử xem.",neutral
"Video đỉnh thật, up thêm nhiều nhé!",positive
"Dịch vụ chán đời, không đáng 1 xu!",negative
"Phim này bình thường, chưa có gì đặc biệt.",neutral
"Sản phẩm xịn quá, 5 sao luôn!",positive
"Giao hàng lâu, thái độ hỗ trợ tệ!",negative
"Clip này cũng được, xem tạm thôi.",neutral
"Nhạc chill cực, nghe thư giãn ghê!",positive
"Game lag quá, chơi bực cả người!",negative
"Sản phẩm này ổn, chưa biết lâu dài sao.",neutral
"Video hài hước ghê, cười muốn xỉu!",positive
"Hàng giao chậm, chất lượng còn tệ!",negative
"Phim này nghe nói hay, để xem thử.",neutral
"Game đỉnh cao, chơi là mê mẩn!",positive
"Dịch vụ thất vọng, không bao giờ quay lại!",negative
"Clip này bình thường, không ấn tượng lắm.",neutral
"Nhạc hay quá, nghe hoài không chán!",positive
"Video này xuất sắc, không thể rời mắt được!",positive
"Dịch vụ quá chán, lần sau né ngay!",negative
"Game này mới ra, chưa biết có đáng chơi không.",neutral
"Nhạc cuốn quá, nghe một lần là nhớ mãi!",positive
"Giao hàng trễ kinh khủng, thất vọng toàn tập!",negative
"Clip này thú vị đấy, nhưng chưa đủ ấn tượng.",neutral
"Phim cảm xúc ghê, xem xong rưng rưng!",positive
"Hàng vừa xấu vừa đắt, mua xong tiếc đứt ruột!",negative
"Sản phẩm nghe bảo tốt, để dùng thử xem sao.",neutral
"App này mượt mà, xài sướng cả tay!",positive
"Nhạc gì mà chán thế, nghe buồn ngủ luôn!",negative
"Video này dài dòng, chưa rõ hay dở ra sao.",neutral
"Clip phản ánh đúng thực tế, vỗ tay nhiệt liệt!",positive
"Dịch vụ hỗ trợ như hạch, lần cuối hợp tác!",negative
"Game này hình đẹp, để trải nghiệm thử.",neutral
"Phim đỉnh thật sự, kịch bản quá xuất sắc!",positive
"Hàng giao sai, còn cãi khách nữa chứ!",negative
"Nhạc này nghe tạm, không có gì đặc sắc.",neutral
"Video sáng tạo đỉnh cao, không thể chê!",positive
"App toàn bug, xài mà muốn đập máy!",negative
"Sản phẩm này mới mua, chưa rõ bền không.",neutral
"Clip kể chuyện cuốn, xem xong muốn nghe tiếp!",positive
"Giao hàng chậm chạp, thái độ còn lồi lõm!",negative
"Phim này được khen nhiều, để xem có đúng không.",neutral
"Game đồ họa đẹp, chơi sướng mắt ghê!",positive
"Dịch vụ quá kém, quảng cáo thì hay ho!",negative
"Video này hơi nhàm, xem một lúc là chán.",neutral
"Nhạc remix đỉnh cao, nghe muốn nhún nhảy!",positive
"Hàng mua về hỏng luôn, shop làm ăn chán!",negative
"App này mới tải, chưa biết có ổn không.",neutral
"Clip truyền cảm hứng ghê, xem xong có động lực!",positive
"Phim gì mà nhạt nhẽo, bỏ dở giữa chừng!",negative
"Sản phẩm này giá rẻ, để thử xem chất lượng.",neutral
"Game này kịch tính, chơi mà tim đập thình thịch!",positive
"Dịch vụ chăm sóc khách hàng tệ, không tôn trọng!",negative
"Nhạc này nghe lạ, chưa biết có hợp gu không.",neutral
"Video dựng đẹp mắt, nội dung sâu sắc!",positive
"Hàng giao thiếu phụ kiện, shop giải thích vòng vo!",negative
"Clip này ngắn gọn, xem thử thấy cũng ổn.",neutral
"App thiết kế đẹp, dùng tiện lợi ghê!",positive
"Phim dở tệ, phí thời gian xem luôn!",negative
"Game này nghe bạn bè khen, để chơi thử.",neutral
"Nhạc live đỉnh quá, nổi da gà luôn!",positive
"Giao hàng lâu lắc, còn giao nhầm địa chỉ!",negative
"Video này nội dung lạ, chưa biết có hay không.",neutral
"Sản phẩm vượt mong đợi, đáng tiền ghê!",positive
"Dịch vụ hỗ trợ khách như trò đùa, bực mình!",negative
"Phim này hơi buồn, xem thử cho biết.",neutral
"Clip kể chuyện cười ra nước mắt, quá đỉnh!",positive
"Hàng rẻ mà chất lượng rẻ mạt, thất vọng!",negative
"App này mới update, để xem có gì mới.",neutral
"Game này căng thẳng, chơi mà hồi hộp ghê!",positive
"Nhạc gì mà lạc hậu thế, nghe phát chán!",negative
"Video này hình ảnh đẹp, chưa rõ nội dung sao.",neutral
"Phim này kịch bản hay, diễn viên đỉnh nữa!",positive
"Dịch vụ giao hàng lề mề, không chuyên nghiệp!",negative
"Sản phẩm này giá cao, để cân nhắc đã.",neutral
"Clip phân tích sâu sắc, học hỏi được nhiều!",positive
"Hàng giao trầy xước, shop không chịu đổi!",negative
"Game này mới ra mắt, chưa biết có hot không.",neutral
"Nhạc acoustic nhẹ nhàng, nghe relax ghê!",positive
"App crash liên tục, xài mà phát cáu!",negative
"Video này ngắn, xem thử thấy cũng được.",neutral
"Phim hành động đỉnh cao, xem mãn nhãn!",positive
"Dịch vụ quảng cáo thì ngon, thực tế thì tệ!",negative
"Sản phẩm này bạn recommend, để thử xem.",neutral
"Clip này ý nghĩa, xem xong suy ngẫm ghê!",positive
"Hàng giao lâu, mở ra còn hỏng nữa!",negative
"Nhạc này lạ tai, chưa biết có thích không.",neutral
"Game chiến thuật hay, chơi phát ghiền!",positive
"Dịch vụ quá tệ, không xứng với giá tiền!",negative
"Video này nội dung đơn giản, xem cho vui.",neutral
"Phim này cảm động, khóc hết nước mắt!",positive
"Hàng gì mà lởm thế, mua về vứt luôn!",negative
"App này mới cài, chưa rõ có tốt không.",neutral
"Clip reaction hài hước, xem cười nghiêng ngả!",positive
"Giao hàng chậm, nhân viên còn hỗn láo!",negative
"Game này đồ họa đẹp, để trải nghiệm thử.",neutral
"Nhạc EDM bùng nổ, nghe là muốn quẩy!",positive
"Dịch vụ chăm sóc khách hàng kém, cạch mặt!",negative
"Phim này dài tập, chưa biết có hay không.",neutral
"Video này sáng tạo, xem mà trầm trồ!",positive
"Hàng giao sai màu, shop không chịu trách nhiệm!",negative
"Sản phẩm này rẻ, để mua thử xem sao.",neutral
"Game nhập vai đỉnh, chơi quên cả thời gian!",positive
"Nhạc gì mà chán ngắt, nghe phát buồn ngủ!",negative
"Clip này nội dung lạ, xem thử cho biết.",neutral
"Phim này plot twist hay, xem xong bất ngờ!",positive
"Dịch vụ giao hàng tệ, không đúng hẹn!",negative
"App này nghe nói tiện, để dùng thử.",neutral
"Video du lịch đẹp mê, xem muốn xách ba lô lên!",positive
"Hàng kém bền, dùng vài ngày là hỏng!",negative
"Nhạc này bình thường, chưa thấy gì nổi bật.",neutral
"Game này hấp dẫn, chơi mà không dứt ra được!",positive
"Dịch vụ hỗ trợ chậm chạp, thái độ kém!",negative
"Phim này bạn khen, để xem có đúng không.",neutral
"Clip này dựng đẹp, nội dung cuốn hút!",positive
"Hàng giao trễ, còn bị bể nữa chứ!",negative
"Sản phẩm này giá ổn, chưa biết chất lượng.",neutral
"Nhạc ballad sâu lắng, nghe mà thấm!",positive
"Video này chất lượng, xem mà đã mắt ghê!",positive
"Dịch vụ quá tệ, liên hệ hỗ trợ không ai trả lời!",negative
"Game này mới cập nhật, chưa biết có gì hot.",neutral
"Nhạc đỉnh cao, nghe xong muốn loop lại!",positive
"Giao hàng lâu lắc, mở ra còn thiếu đồ!",negative
"Clip này nội dung đơn giản, xem tạm ổn.",neutral
"Phim này kịch tính, xem mà hồi hộp luôn!",positive
"Hàng gì mà đắt cắt cổ, chất lượng thì tệ!",negative
"Sản phẩm này nghe bạn bè khen, để thử xem.",neutral
"App này tiện lợi, dùng một lần là thích!",positive
"Nhạc dở không chịu nổi, tắt ngay từ đầu!",negative
"Video này hơi dài, chưa biết có đáng xem không.",neutral
"Clip dạy nấu ăn hay, làm theo thành công luôn!",positive
"Dịch vụ giao hàng chán, toàn giao trễ!",negative
"Game này hình ảnh đẹp, để chơi thử xem sao.",neutral
"Phim này ý nghĩa, xem xong suy nghĩ nhiều!",positive
"Hàng giao sai kích cỡ, shop không giải quyết!",negative
"Nhạc này nghe được, nhưng không quá đặc biệt.",neutral
"Video dựng chuyên nghiệp, nội dung cuốn hút!",positive
"App này chậm chạp, dùng mà phát bực!",negative
"Sản phẩm này mới ra, chưa rõ chất lượng thế nào.",neutral
"Clip này truyền năng lượng tích cực, thích ghê!",positive
"Giao hàng trễ, hàng còn bị móp méo!",negative
"Phim này nghe nói buồn, để xem thử.",neutral
"Game này chiến thuật đỉnh, chơi cực kỳ cuốn!",positive
"Dịch vụ hỗ trợ khách hàng kém, không nhiệt tình!",negative
"Video này ngắn gọn, xem cho vui thôi.",neutral
"Nhạc acoustic mượt mà, nghe muốn tan chảy!",positive
"Hàng giao lâu, chất lượng thì dưới trung bình!",negative
"App này mới nghe nói, để tải về xem sao.",neutral
"Clip kể chuyện ma ghê, xem tối nổi da gà!",positive
"Phim gì mà nhảm nhí, bỏ ngang luôn!",negative
"Sản phẩm này giá mềm, chưa biết dùng ổn không.",neutral
"Game này gay cấn, chơi mà không muốn dừng!",positive
"Dịch vụ quảng cáo thì ngon, thực tế thì dở!",negative
"Nhạc này lạ lạ, chưa rõ có hợp không.",neutral
"Video này hình ảnh đẹp, xem mê luôn!",positive
"Hàng giao thiếu, shop đổ lỗi cho khách!",negative
"Clip này nội dung mới mẻ, để xem hết đã.",neutral
"App này giao diện đẹp, dùng rất thích!",positive
"Phim dở tệ hại, phí cả buổi tối!",negative
"Game này bạn chơi khen, để thử xem sao.",neutral
"Nhạc live này đỉnh, nghe mà nổi hết da gà!",positive
"Giao hàng chậm, còn giao nhầm hàng nữa!",negative
"Video này hơi buồn, chưa biết có hay không.",neutral
"Sản phẩm vượt kỳ vọng, đáng đồng tiền!",positive
"Dịch vụ chăm sóc khách hàng như trò đùa!",negative
"Phim này dài tập, để từ từ xem.",neutral
"Clip này hài hước, xem cười chảy nước mắt!",positive
"Hàng rẻ mà kém, dùng vài bữa là hỏng!",negative
"App này mới ra mắt, chưa rõ có tốt không.",neutral
"Game này hấp dẫn, chơi mà quên giờ giấc!",positive
"Nhạc gì mà lạc lõng, nghe chẳng vào!",negative
"Video này hình đẹp, chưa rõ nội dung ra sao.",neutral
"Phim này kịch bản sáng tạo, xem rất thích!",positive
"Dịch vụ giao hàng thiếu trách nhiệm, tệ!",negative
"Sản phẩm này giá cao, để cân nhắc thêm.",neutral
"Clip phân tích chi tiết, xem học được nhiều!",positive
"Hàng giao trầy xước, shop không chịu trách nhiệm!",negative
"Game này mới lên kệ, chưa biết có hot không.",neutral
"Nhạc này nhẹ nhàng, nghe thư giãn ghê!",positive
"App toàn lỗi, dùng mà muốn đập điện thoại!",negative
"Video này ngắn gọn, xem thấy cũng được.",neutral
"Phim hành động này mãn nhãn, quá đỉnh!",positive
"Dịch vụ giao hàng lề mề, không đáng tin!",negative
"Sản phẩm này bạn recommend, để thử xem.",neutral
"Clip này ý tưởng độc đáo, xem thích mê!",positive
"Hàng giao lâu, mở ra còn hỏng luôn!",negative
"Nhạc này mới lạ, chưa biết có thích không.",neutral
"Game nhập vai này hay, chơi cực kỳ cuốn!",positive
"Dịch vụ quá tệ, không xứng đáng 1 sao!",negative
"Video này nội dung nhẹ nhàng, xem cho vui.",neutral
"Phim này cảm động, xem mà khóc nức nở!",positive
"Hàng gì mà lởm thế, mua về tức tối!",negative
"App này mới cài đặt, chưa rõ có ổn không.",neutral
"Clip reaction này vui, xem cười đau bụng!",positive
"Giao hàng chậm, nhân viên còn thái độ!",negative
"Game này đồ họa đẹp, để trải nghiệm xem.",neutral
"Nhạc EDM này sôi động, nghe muốn nhảy!",positive
"Dịch vụ hỗ trợ khách hàng kém cỏi, chán!",negative
"Phim này dài, chưa biết có đáng xem không.",neutral
"Video này sáng tạo, xem mà trầm trồ ghê!",positive
"Hàng giao sai mẫu, shop không chịu đổi!",negative
"Sản phẩm này giá rẻ, để mua thử đã.",neutral
"Game này kịch tính, chơi mà tim đập mạnh!",positive
"Nhạc gì mà chán ngắt, nghe phát buồn!",negative
"Clip này nội dung lạ, xem thử cho biết.",neutral
"Phim này plot hay, xem xong bất ngờ!",positive
"Dịch vụ giao hàng tệ hại, không đúng giờ!",negative
"App này nghe nói tiện, để dùng thử xem.",neutral
"Video du lịch này đẹp, xem muốn đi ngay!",positive
"Hàng kém bền, dùng vài hôm là hỏng!",negative
"Nhạc này bình thường, chưa thấy gì hay.",neutral
"Game này lôi cuốn, chơi quên cả ăn!",positive
"Dịch vụ hỗ trợ chậm, thái độ không tốt!",negative
"Phim này bạn khen, để xem có hay không.",neutral
"Clip này hình ảnh đẹp, nội dung cuốn!",positive
"Hàng giao trễ, còn bị bể vỡ nữa!",negative
"Sản phẩm này giá ổn, chưa rõ chất lượng.",neutral
"Nhạc ballad này thấm, nghe mà xúc động!",positive
"Video này đỉnh thật, nội dung quá sáng tạo!",positive
"Dịch vụ quá tệ, không ai thèm quay lại!",negative
"Game này mới phát hành, chưa rõ có đáng chơi.",neutral
"Nhạc này cuốn hút, nghe là muốn hát theo!",positive
"Giao hàng siêu chậm, làm ăn chán quá!",negative
"Clip này nội dung nhẹ, xem thư giãn thôi.",neutral
"Phim này gay cấn, xem mà nghẹt thở!",positive
"Hàng kém chất lượng, mua về chỉ tổ bực!",negative
"Sản phẩm này bạn giới thiệu, để thử xem.",neutral
"App này nhanh nhẹn, dùng sướng cả người!",positive
"Nhạc gì mà lạc quẻ, nghe không nổi!",negative
"Video này hơi dài dòng, chưa rõ hay không.",neutral
"Clip này dạy hay, áp dụng được luôn!",positive
"Dịch vụ giao hàng tệ, không đúng cam kết!",negative
"Game này đồ họa đẹp, để chơi thử đã.",neutral
"Phim này ý nghĩa sâu sắc, xem xong thấm!",positive
"Hàng giao sai mẫu, shop còn đổ lỗi khách!",negative
"Nhạc này nghe ổn, nhưng không quá nổi bật.",neutral
"Video dựng quá đỉnh, xem mê mẩn luôn!",positive
"App này lag hoài, xài mà phát cáu!",negative
"Sản phẩm này mới mua, chưa biết bền không.",neutral
"Clip này tích cực, xem xong vui cả ngày!",positive
"Giao hàng trễ hạn, hàng còn bị móp!",negative
"Phim này nghe bảo buồn, để xem thử sao.",neutral
"Game này chiến thuật hay, chơi cực kỳ thích!",positive
"Dịch vụ hỗ trợ khách hàng lười biếng, chán!",negative
"Video này ngắn, xem giải trí cũng được.",neutral
"Nhạc acoustic này nhẹ, nghe thư thái ghê!",positive
"Hàng giao lâu, chất lượng thì quá tệ!",negative
"App này mới nghe nói, để cài thử xem.",neutral
"Clip kể chuyện rùng rợn, xem mà sợ!",positive
"Phim này nhạt nhẽo, xem nửa đường bỏ!",negative
"Sản phẩm này giá rẻ, chưa rõ dùng tốt không.",neutral
"Game này hồi hộp, chơi mà tim đập nhanh!",positive
"Dịch vụ quảng cáo hay, thực tế thì dởm!",negative
"Nhạc này lạ lạ, chưa biết có hợp gu.",neutral
"Video này quay đẹp, xem thích mắt ghê!",positive
"Hàng giao thiếu đồ, shop không chịu bù!",negative
"Clip này nội dung mới, để xem hết thử.",neutral
